Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"bbsignal.c",0,4,0,5,20,16,1,1,1,1,4,0,4,0,,,,0,,,,,,4,,,,,,,,,,,,,,41,5,19,12,0,16,0,1,,,,15,14,14,0,0,,,,,,1,1,1,1,,,0,,,"0.84",4,4,4,4
File,"bbsignal.h",0,0,0,3,12,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,15,3,4,0,0,0,0,8,,,,4,4,4,0,0,,,,,,0,0,0,0,,,0,,,"0.00",0,0,0,0
Function,"block_signals",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"clean_up",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,6,1,4,0,0,0,1,1,0,4,4,0,0,4,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
File,"gpio-stub.c",0,2,1,5,14,6,1,1,1,1,3,0,2,1,,,,0,,,,,,6,,,,,,,,,,,,,,25,5,13,10,9,6,0,1,,,,9,17,10,0,7,,,,,,2,2,2,1,,,1,,,"0.46",7,7,7,6
File,"gpio.c",0,14,0,7,86,4,3,3,3,1,15,0,14,0,,,,0,,,,,,6,,,,,,,,,,,,,,97,7,85,28,93,4,0,1,,,,55,73,31,0,43,,,,,,3,3,3,1,,,1,,,"0.05",15,15,15,6
File,"gpio.h",0,0,0,7,24,10,0,0,0,0,0,0,0,0,,,,2,,,,,,0,,,,,,,,,,,,,,40,7,11,0,0,10,0,13,,,,11,13,13,0,0,,,,,,0,0,0,0,,,0,,,"0.91",0,0,0,0
Function,"gpio_export",,,,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,1,13,7,7,0,0,0,5,2,0,9,13,7,0,6,2,2,2,1,0,,,,,0,,1,0,,"0.00",,,,
Function,"gpio_export",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"gpio_get_direction",,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,15,4,11,0,0,0,6,2,0,10,10,3,0,8,2,2,2,1,1,,,,,0,,1,0,,"0.00",,,,
Function,"gpio_get_direction",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"gpio_get_value",,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,14,5,10,0,0,0,4,2,0,9,10,4,0,6,3,3,3,1,1,,,,,0,,1,0,,"0.00",,,,
Function,"gpio_get_value",,,,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,8,5,4,3,0,0,2,2,0,4,7,4,0,3,2,2,2,1,0,,,,,0,,1,0,,"0.38",,,,
Function,"gpio_set_direction",,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,15,3,12,0,0,0,5,3,0,9,11,2,0,9,3,3,3,1,2,,,,,0,,1,0,,"0.00",,,,
Function,"gpio_set_direction",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"gpio_set_value",,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,0,15,4,11,0,0,0,4,3,0,9,11,3,0,8,3,3,3,1,2,,,,,0,,1,0,,"0.00",,,,
Function,"gpio_set_value",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"gpio_unexport",,,,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,1,13,3,7,0,0,0,5,2,0,9,9,3,0,6,2,2,2,1,0,,,,,0,,1,0,,"0.00",,,,
Function,"gpio_unexport",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"handle_sensor1",,,,1,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,1,37,5,14,5,0,0,7,10,1,23,16,4,0,13,6,6,7,1,1,,,,,0,,3,0,,"0.14",,,,
Function,"handle_sensor2",,,,1,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,1,37,3,14,4,0,0,7,10,1,23,14,2,0,13,6,6,7,1,1,,,,,0,,3,0,,"0.11",,,,
Function,"handle_signal1",,,,0,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,0,40,5,31,1,0,0,7,8,1,27,34,4,0,30,8,3,8,8,20,,,,,20,,2,20,,"0.03",,,,
Function,"handle_signal2",,,,0,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,0,41,2,32,1,0,0,7,8,1,28,32,1,0,31,8,3,8,1,21,,,,,0,,2,0,,"0.02",,,,
Function,"incrementAction",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,2,0,0,0,1,2,0,3,2,0,0,2,3,3,3,1,0,,,,,0,,1,0,,"0.00",,,,
Function,"initialize",,,,3,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,3,14,1,12,0,0,0,3,1,0,12,12,0,0,12,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
File,"lab3.c",1,22,1,28,334,59,3,2,3,1,25,1,22,1,,,,1,,,,,,13,,,,,,,,,,,,,,420,28,319,60,173,59,0,15,,,,237,226,60,0,168,,,,,,8,6,8,8,,,3,,,"0.18",42,32,44,20
File,"logging.c",1,17,0,4,35,8,2,2,2,1,18,1,17,0,,,,0,,,,,,2,,,,,,,,,,,,,,47,4,34,19,19,8,0,1,,,,25,36,22,0,14,,,,,,2,2,2,1,,,1,,,"0.24",4,4,4,2
File,"logging.h",0,0,0,6,24,4,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,34,6,2,0,0,4,0,22,,,,2,2,2,0,0,,,,,,0,0,0,0,,,0,,,"2.00",0,0,0,0
Function,"main",,,,7,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64,7,49,4,31,8,0,0,19,1,0,44,34,3,0,31,1,1,1,1,0,,,,,0,,0,0,,"0.16",,,,
Function,"make_signal_green",,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,10,1,6,0,0,0,5,1,0,8,6,0,0,6,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"make_signal_red",,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,10,3,6,0,0,0,5,1,0,8,8,2,0,6,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"make_signal_yellow",,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,10,1,6,0,0,0,5,1,0,8,6,0,0,6,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
File,"pins.h",0,0,0,6,72,22,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,99,6,0,0,0,22,0,72,,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,"0.00",0,0,0,0
Function,"register_signal_handler",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,3,0,0,0,0,0,1,0,5,3,3,0,0,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"register_sigpromask",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,4,0,0,0,0,0,1,0,5,3,3,0,0,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"shell_print",,,,2,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,2,21,10,11,0,0,0,6,2,0,16,18,10,0,8,2,2,2,1,1,,,,,0,,1,0,,"0.00",,,,
Function,"shell_write",,,,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,13,5,7,0,0,0,4,2,0,9,10,4,0,6,2,2,2,1,1,,,,,0,,1,0,,"0.00",,,,
Function,"sig_handler",,,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,18,1,6,0,0,0,1,4,1,12,7,0,0,7,4,4,4,1,2,,,,,0,,1,0,,"0.00",,,,
